"REF_DATE","GEO","Alternative measures","UOM","SCALAR_FACTOR","VALUE"
"1990-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.2
"1990-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1990-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1990-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.9
"1990-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1990-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1991-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.2
"1991-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.3
"1991-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1991-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1991-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.7
"1991-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.8
"1991-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.4
"1991-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.3
"1991-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3
"1991-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"1991-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"1991-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1992-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"1992-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1992-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1992-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1992-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.1
"1992-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.8
"1992-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.1
"1992-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1992-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1992-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1992-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1992-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1993-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1993-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"1993-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1993-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1993-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1993-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"1993-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"1993-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1993-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1993-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1993-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"1993-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1994-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1994-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1994-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1994-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.1
"1994-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.9
"1994-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.9
"1994-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.9
"1994-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.8
"1994-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.8
"1994-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.6
"1994-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.8
"1994-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",0.9
"1995-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1995-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1995-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1995-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1995-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"1995-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"1995-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1995-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1995-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"1995-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1995-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1995-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1996-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1996-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1996-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1996-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1996-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1996-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1996-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.1
"1996-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1996-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1996-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"1996-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1996-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1997-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1997-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1997-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1997-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1997-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1997-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1997-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1997-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1997-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"1997-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"1997-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1997-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"1998-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"1998-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1998-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"1998-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"1998-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1998-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"1998-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"1998-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"1998-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1998-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1998-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1998-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"1999-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1999-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1999-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1999-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1999-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1999-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1999-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"1999-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"1999-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1999-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"1999-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"1999-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2000-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2000-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2000-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2000-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2000-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2000-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2000-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2000-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2000-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2000-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2000-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2000-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2001-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2001-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2001-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2001-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2001-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.5
"2001-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.5
"2001-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.5
"2001-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.5
"2001-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.5
"2001-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.5
"2001-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2001-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2002-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2002-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2002-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2002-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2002-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"2002-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"2002-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"2002-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2002-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2002-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2002-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2002-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2003-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2003-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"2003-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"2003-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2003-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2003-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2003-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2003-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2003-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2003-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2003-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2003-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2004-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2004-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2004-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2004-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2004-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2004-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2004-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2005-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2005-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2005-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2005-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2005-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2006-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2006-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2006-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2006-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2006-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2006-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2006-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2006-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2006-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2006-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
