"REF_DATE","GEO","Seasonal adjustment","Prices","North American Industry Classification System (NAICS)","UOM","SCALAR_FACTOR","VALUE"
"1997-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1161269
"1997-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1168576
"1997-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1168456
"1997-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1176368
"1997-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1180541
"1997-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1182790
"1997-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1195510
"1997-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1197012
"1997-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1199096
"1997-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1203751
"1997-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1204715
"1997-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1215663
"1998-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1210338
"1998-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1222196
"1998-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1226815
"1998-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1226970
"1998-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1224212
"1998-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1223190
"1998-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1222521
"1998-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1234025
"1998-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1237237
"1998-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1241598
"1998-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1244099
"1998-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1254166
"1999-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1264286
"1999-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1269617
"1999-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1270087
"1999-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1276505
"1999-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1278394
"1999-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1286392
"1999-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1291475
"1999-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1298230
"1999-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1307392
"1999-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1311130
"1999-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1323538
"1999-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1330485
"2000-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1331247
"2000-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1333047
"2000-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1346738
"2000-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1345742
"2000-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1355757
"2000-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1360989
"2000-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1366429
"2000-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1373464
"2000-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1375095
"2000-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1378052
"2000-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1378724
"2000-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1380274
"2001-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1378438
"2001-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1376217
"2001-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1376986
"2001-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1376796
"2001-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1381337
"2001-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1380601
"2001-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1378481
"2001-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1383697
"2001-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1377067
"2001-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1383139
"2001-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1390494
"2001-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1387548
"2002-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1403029
"2002-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1410465
"2002-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1408846
"2002-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1418648
"2002-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1420572
"2002-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1422048
"2002-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1427463
"2002-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1432699
"2002-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1429392
"2002-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1437901
"2002-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1437230
"2002-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1432915
"2003-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1439973
"2003-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1444030
"2003-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1442379
"2003-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1437795
"2003-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1442097
"2003-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1445133
"2003-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1452096
"2003-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1438221
"2003-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1456432
"2003-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1463506
"2003-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1465042
"2003-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1470038
"2004-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1469966
"2004-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1470788
"2004-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1482085
"2004-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1485697
"2004-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1490346
"2004-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1497114
"2004-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1498159
"2004-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1505005
"2004-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1509184
"2004-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1511006
"2004-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1513231
"2004-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1514005
"2005-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1520239
"2005-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1521954
"2005-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1516787
"2005-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1528039
"2005-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1534958
"2005-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1539967
"2005-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1542838
"2005-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1552769
"2005-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1553013
"2005-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1556514
"2005-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1566212
"2005-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1571924
"2006-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1575637
"2006-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1579876
"2006-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1584747
"2006-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1583903
"2006-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1584884
"2006-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1582343
"2006-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1583934
"2006-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1584297
"2006-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1580456
"2006-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1582943
"2006-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1586105
"2006-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1597223
"2007-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1596898
"2007-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1604309
"2007-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1607215
"2007-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1608865
"2007-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1615432
"2007-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1619574
"2007-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1618848
"2007-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1623157
"2007-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1620019
"2007-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1621215
"2007-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1622450
"2007-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1616118
"2008-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1621492
"2008-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1619213
"2008-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1618364
"2008-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1623985
"2008-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1625281
"2008-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1630757
"2008-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1640312
"2008-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1637072
"2008-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1635731
"2008-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1635860
"2008-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1617639
"2008-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1596396
"2009-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1582918
"2009-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1576917
"2009-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1566404
"2009-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1561546
"2009-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1558576
"2009-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1558940
"2009-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1563453
"2009-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1565190
"2009-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1575366
"2009-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1577786
"2009-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1587571
"2009-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1591336
"2010-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1601650
"2010-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1606768
"2010-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1614763
